Function;Description
CALL function;'Calls a procedure in a dynamic link library or code resource'
EUROCONVERT function;'Converts a number to euros, converts a number from euros to a euro member currency, or converts a number from one euro member currency to another by using the euro as an intermediary (triangulation)'
REGISTER.ID function;'Returns the register ID of the specified dynamic link library (DLL) or code resource that has been previously registered'
